PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count,search_term,avg_cost
12165506,2002,F32CA079115,1999,2000,2000,2000F32CA079115,59692,F32,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLonly,59692.0
29669947,2018,K12CA076931,1999,2020,2018,2018K12CA076931,796188,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,796188.0
27258611,2016,K12CA076931,1999,2020,2016,2016K12CA076931,592239,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,592239.0
26352815,2015,K12CA076931,1999,2020,2015,2015K12CA076931,838930,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,838930.0
24596416,2014,K12CA076931,1999,2020,2014,2014K12CA076931,884543,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,884543.0
19636062,2009,K12CA076931,1999,2020,2009,2009K12CA076931,515149,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,515149.0
14662906,2003,P01CA016519,1999,2010,2003,2003P01CA016519,3387388,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLonly,3387388.0
31558469,2019,P01CA018029,1999,2020,2019,2019P01CA018029,3801408,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1900704.0
31337659,2019,P01CA018029,1999,2020,2019,2019P01CA018029,3801408,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1900704.0
29728402,2018,P01CA018029,1999,2020,2018,2018P01CA018029,3990001,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,3990001.0
