Search__ID,Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count,avg_cost
NIH15295282021,chim,23594731,2013,D43TW000013,1999,2012,2012,2012D43TW000013,800067,D43,TW,FIC,Fogarty International Center,Fogarty International Center,1,800067.0
NIH15295282021,chim,18431473,2008,R03TW006273,2004,2006,2006,2006R03TW006273,41842,R03,TW,FIC,Fogarty International Center,Fogarty International Center,1,41842.0
NIH15295282021,chim,29985529,2018,U01TW010087,2015,2020,2018,2018U01TW010087,307733,U01,TW,FIC,Fogarty International Center,Fogarty International Center,1,307733.0
NIH15295282021,chim,11857334,2002,F31MH012120,1999,1999,1999,1999F31MH012120,0,F31,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,0.0
NIH15295282021,chim,21912650,2011,R01MH056838,1999,2014,2011,2011R01MH056838,404204,R01,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,404204.0
NIH15295282021,chim,30771481,2019,P30MH062261,2000,2020,2019,2019P30MH062261,1498699,P30,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,2,1498699.0
NIH15295282021,chim,19717517,2009,P30MH062261,2000,2020,2009,2009P30MH062261,2139169,P30,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,2,2139169.0
NIH15295282021,chim,18606669,2008,P30MH062261,2000,2020,2008,2008P30MH062261,2504174,P30,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,2,2504174.0
NIH15295282021,chim,21912650,2011,P01MH064570,2001,2014,2011,2011P01MH064570,1479338,P01,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,3,1479338.0
NIH15295282021,chim,25253339,2014,P30MH062246,2001,2020,2014,2014P30MH062246,1772375,P30,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,2,1772375.0
NIH15295282021,chim,25138734,2014,R01MH077544,2007,2011,2011,2011R01MH077544,410282,R01,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,410282.0
NIH15295282021,chim,21912650,2011,R21MH083581,2008,2009,2009,2009R21MH083581,225321,R21,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,225321.0
NIH15295282021,chim,23377668,2013,ZIAMH002810,2009,2019,2013,2013ZIAMH002810,1026415,ZIA,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,1026415.0
NIH15295282021,chim,30548022,2018,P30MH092177,2011,2020,2018,2018P30MH092177,1647026,P30,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,2,1647026.0
NIH15295282021,chim,22772464,2012,R03MH095529,2011,2012,2012,2012R03MH095529,45586,R03,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,45586.0
NIH15295282021,chim,31481167,2019,R01MH103220,2014,2018,2018,2018R01MH103220,420823,R01,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,420823.0
NIH15295282021,chim,30733722,2018,R01MH110441,2016,2019,2018,2018R01MH110441,735350,R01,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,735350.0
NIH15295282021,chim,31481167,2019,R01MH118013,2018,2020,2019,2019R01MH118013,918107,R01,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,918107.0
NIH15295282021,chim,31481167,2019,R01MH116782,2018,2021,2019,2019R01MH116782,516535,R01,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1,516535.0
NIH15295282021,chim,11129426,2000,F32CA075732,1999,1999,1999,1999F32CA075732,0,F32,CA,NCI,National Cancer Institute,National Cancer Institute,1,0.0
NIH15295282021,chim,14695219,2003,K08CA078656,1999,2001,2001,2001K08CA078656,128402,K08,CA,NCI,National Cancer Institute,National Cancer Institute,1,128402.0
NIH15295282021,chim,11309297,2001,K08CA079640,1999,2001,2001,2001K08CA079640,184678,K08,CA,NCI,National Cancer Institute,National Cancer Institute,1,184678.0
NIH15295282021,chim,15353342,2004,K08CA082666,1999,2001,2001,2001K08CA082666,158178,K08,CA,NCI,National Cancer Institute,National Cancer Institute,1,158178.0
NIH15295282021,chim,14578097,2003,K12CA076903,1999,2002,2002,2002K12CA076903,517594,K12,CA,NCI,National Cancer Institute,National Cancer Institute,2,517594.0
NIH15295282021,chim,15067052,2004,K12CA076905,1999,2007,2004,2004K12CA076905,676188,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,676188.0
NIH15295282021,chim,12386826,2002,K12CA076905,1999,2007,2002,2002K12CA076905,314698,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,314698.0
NIH15295282021,chim,11751400,2001,K12CA076905,1999,2007,2001,2001K12CA076905,319682,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,319682.0
NIH15295282021,chim,26090481,2015,K12CA076917,1999,2020,2015,2015K12CA076917,726482,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,726482.0
NIH15295282021,chim,31135525,2019,K12CA076930,1999,2020,2019,2019K12CA076930,666708,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,333354.0
NIH15295282021,chim,31043415,2019,K12CA076930,1999,2020,2019,2019K12CA076930,666708,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,333354.0
NIH15295282021,chim,29360643,2018,K12CA076930,1999,2020,2018,2018K12CA076930,672442,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,672442.0
NIH15295282021,chim,27269940,2016,K12CA076930,1999,2020,2016,2016K12CA076930,556019,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,556019.0
NIH15295282021,chim,22878966,2012,K12CA076930,1999,2020,2012,2012K12CA076930,601580,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,601580.0
NIH15295282021,chim,29669947,2018,K12CA076931,1999,2020,2018,2018K12CA076931,796188,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,796188.0
NIH15295282021,chim,27258611,2016,K12CA076931,1999,2020,2016,2016K12CA076931,592239,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,592239.0
NIH15295282021,chim,26352815,2015,K12CA076931,1999,2020,2015,2015K12CA076931,838930,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,838930.0
NIH15295282021,chim,24596416,2014,K12CA076931,1999,2020,2014,2014K12CA076931,884543,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,884543.0
NIH15295282021,chim,19636062,2009,K12CA076931,1999,2020,2009,2009K12CA076931,515149,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1,515149.0
NIH15295282021,chim,12584045,2003,K23CA082584,1999,2003,2003,2003K23CA082584,170350,K23,CA,NCI,National Cancer Institute,National Cancer Institute,1,170350.0
NIH15295282021,chim,11861283,2002,K23CA082584,1999,2003,2002,2002K23CA082584,174232,K23,CA,NCI,National Cancer Institute,National Cancer Institute,1,174232.0
NIH15295282021,chim,12953631,2003,P01CA012582,1999,2010,2003,2003P01CA012582,7796044,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,7796044.0
NIH15295282021,chim,29198753,2018,P01CA015396,1999,2016,2016,2016P01CA015396,1939038,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,969519.0
NIH15295282021,chim,26648070,2017,P01CA015396,1999,2016,2016,2016P01CA015396,1939038,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,969519.0
NIH15295282021,chim,26622998,2015,P01CA015396,1999,2016,2015,2015P01CA015396,1963503,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,981751.5
NIH15295282021,chim,25995224,2015,P01CA015396,1999,2016,2015,2015P01CA015396,1963503,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,981751.5
NIH15295282021,chim,24660868,2014,P01CA015396,1999,2016,2014,2014P01CA015396,1906937,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,953468.5
NIH15295282021,chim,24517426,2014,P01CA015396,1999,2016,2014,2014P01CA015396,1906937,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,953468.5
