APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2016.0,2016P01AG015379,2193557.0,Drug
2008.0,2008P01AG007232,2655637.0,Drug
2018.0,2018P01AG015379,2095236.0,Drug
2009.0,2009P01AG010491,1634500.0,Drug
2009.0,2009P01AG030004,2257143.0,Drug
2009.0,2009P01NS015655,1487480.0,Drug
2019.0,2019P01AG015379,1702334.0,Drug
2012.0,2012P01AG030004,1372066.0,Drug
2003.0,2003P01NS005820,2064366.0,TargetOnly
1999.0,1999P01NS011766,0.0,TargetOnly
2002.0,2002P01NS019608,62601.0,TargetOnly
2001.0,2001P01NS019632,1815735.0,TargetOnly
2004.0,2004P01NS040405,1837100.0,TargetOnly
2012.0,2012P01NS015655,1375967.0,TargetOnly
2010.0,2010P01NS015655,1448827.0,TargetOnly
2010.0,2010P01NS044233,1398374.0,TargetOnly
2005.0,2005P01NS044306,1085873.0,TargetOnly
2004.0,2004P01HL025830,2457343.0,TargetOnly
2005.0,2005P01HL030568,4646178.0,TargetOnly
2011.0,2011P01HL034300,2509718.0,TargetOnly
2004.0,2004P01HL036577,2048145.0,TargetOnly
2010.0,2010P01HL039707,2164822.0,TargetOnly
1999.0,1999P01HL046345,0.0,TargetOnly
2010.0,2010P01HL056693,2302623.0,TargetOnly
2004.0,2004P01HL056693,2536374.0,TargetOnly
2009.0,2009P01HL058120,2822595.0,TargetOnly
2001.0,2001P01HL067839,1802555.0,TargetOnly
2010.0,2010P01HL087226,2334787.0,TargetOnly
2001.0,2001P01HD022486,2176568.0,TargetOnly
2002.0,2002P01HD024448,1545942.0,TargetOnly
2002.0,2002P01DC000215,1271008.0,TargetOnly
2001.0,2001P01DC003191,641282.0,TargetOnly
2003.0,2003P01DC003600,1484590.0,TargetOnly
2006.0,2006P01AG002219,2636845.0,TargetOnly
1999.0,1999P01AG002219,0.0,TargetOnly
2000.0,2000P01AG009525,1759471.0,TargetOnly
1999.0,1999P01AG009525,0.0,TargetOnly
2007.0,2007P01AG009973,360458.0,TargetOnly
