Search__ID,Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,20525997,2010,M01RR000082,1999,2009,2009,2009M01RR000082,1710398,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,24225950,2014,P41RR001209,1999,2011,2011,2011P41RR001209,3479872,P41,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,18300938,2008,K23RR017720,2003,2007,2007,2007K23RR017720,142252,K23,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,22005270,2011,KL2RR024994,2007,2011,2011,2011KL2RR024994,2206692,KL2,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,19351729,2009,UL1RR024923,2007,2007,2007,2007UL1RR024923,345419,UL1,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,20716520,2010,UL1RR024982,2007,2011,2010,2010UL1RR024982,7457335,UL1,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,19965915,2010,UL1RR024982,2007,2011,2010,2010UL1RR024982,7457335,UL1,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,22005270,2011,UL1RR024992,2007,2011,2011,2011UL1RR024992,11774824,UL1,RR,NCRR,National Center for Research Resources,National Center for Research Resources,4
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,25180781,2014,UL1RR025008,2007,2011,2011,2011UL1RR025008,7316192,UL1,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,22483106,2012,S10RR026814,2010,2010,2010,2010S10RR026814,302447,S10,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,18436227,2009,N01HC055015,1999,2006,2006,2006N01HC055015,0,N01,HC,NHLBI, Division of Epidemiology and Clinical Applications,Genome Association Studies,1
"""""""""""""""proprotein convertase 9""[MeSH Terms] OR ""proprotein convertase 9""[All Fields] OR ""proprotein convertase subtilisin kexin type 9""[All Fields]""""""""""""",target,18006936,2007,N01HC055015,1999,2006,2006,2006N01HC055015,0,N01,HC,NHLBI, Division of Epidemiology and Clinical Applications,Genome Association Studies,1
