APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2017.0,2017P01HL020948,4498882.0,Drug
2017.0,2017P01HL078825,2912050.0,Drug
2015.0,2015P01CA042063,1616349.0,TargetOnly
2010.0,2010P01CA033619,2883786.0,TargetOnly
2019.0,2019P01CA142538,2045820.0,TargetOnly
2014.0,2014P01HL020948,4722302.0,TargetOnly
2013.0,2013P01HL020948,4737359.0,TargetOnly
2012.0,2012P01HL020948,5120486.0,TargetOnly
2011.0,2011P01HL020948,6758727.0,TargetOnly
2010.0,2010P01HL020948,7213758.0,TargetOnly
2009.0,2009P01HL020948,7793450.0,TargetOnly
2008.0,2008P01HL020948,7250874.0,TargetOnly
2007.0,2007P01HL020948,7978446.0,TargetOnly
2006.0,2006P01HL020948,8015200.0,TargetOnly
2005.0,2005P01HL020948,8491704.0,TargetOnly
2004.0,2004P01HL020948,8811641.0,TargetOnly
2011.0,2011P01HL030568,4316596.0,TargetOnly
2012.0,2012P01HL034343,1719537.0,TargetOnly
2012.0,2012P01HL049373,2230396.0,TargetOnly
2013.0,2013P01HL057346,1795773.0,TargetOnly
2017.0,2017P01HL060901,1570445.0,TargetOnly
2016.0,2016P01HL028481,2959826.0,TargetOnly
2016.0,2016P01HL055798,2129805.0,TargetOnly
2015.0,2015P01HL055798,2155621.0,TargetOnly
2015.0,2015P01HL062984,1634015.0,TargetOnly
2016.0,2016P01HL088093,2938294.0,TargetOnly
2015.0,2015P01HL088093,2967714.0,TargetOnly
2012.0,2012P01HL090553,2758694.0,TargetOnly
2011.0,2011P01HL090553,2901789.0,TargetOnly
2019.0,2019P01HL092969,2321426.0,TargetOnly
2017.0,2017P01HL095070,1851057.0,TargetOnly
2019.0,2019P01HL131471,2253507.0,TargetOnly
2018.0,2018P01HL131471,2346142.0,TargetOnly
2017.0,2017P01HL131471,2166888.0,TargetOnly
2020.0,2020P01HL131481,2287966.0,TargetOnly
2020.0,2020P01HL131478,2425873.0,TargetOnly
2020.0,2020P01GM095467,1512429.0,TargetOnly
2016.0,2016P01GM095467,1749799.0,TargetOnly
2014.0,2014P01GM099568,1879884.0,TargetOnly
2015.0,2015P01AG033559,620557.0,TargetOnly
2018.0,2018P01AI045897,3285092.0,TargetOnly
2019.0,2019T32HL007604,705168.0,Drug
2018.0,2018T32HL094301,505489.0,Drug
2018.0,2018T32HL129948,310326.0,Drug
2016.0,2016T32DK007120,813244.0,Drug
2019.0,2019T32CA009171,525455.0,TargetOnly
2012.0,2012T32HL007121,1002726.0,TargetOnly
2014.0,2014T32HL007208,759595.0,TargetOnly
2017.0,2017T32HL007284,865226.0,TargetOnly
2018.0,2018T32HL007343,588693.0,TargetOnly
2019.0,2019T32HL007411,512117.0,TargetOnly
2016.0,2016T32HL007411,543520.0,TargetOnly
2018.0,2018T32HL007575,361210.0,TargetOnly
2016.0,2016T32HL007604,866701.0,TargetOnly
2012.0,2012T32HL007604,812918.0,TargetOnly
2018.0,2018T32HL007676,537804.0,TargetOnly
2018.0,2018T32HL007843,624769.0,TargetOnly
2017.0,2017T32HL007843,647899.0,TargetOnly
2020.0,2020T32HL007853,615556.0,TargetOnly
2007.0,2007T32HL007936,680168.0,TargetOnly
2016.0,2016T32HL086344,353704.0,TargetOnly
2013.0,2013T32HL098057,244336.0,TargetOnly
2020.0,2020T32HL098129,489049.0,TargetOnly
2019.0,2019T32DK007559,231220.0,TargetOnly
2012.0,2012T32DK007745,288061.0,TargetOnly
2015.0,2015T32DK007778,238995.0,TargetOnly
2013.0,2013T32GM007092,342114.0,TargetOnly
2018.0,2018T32GM007170,2554366.0,TargetOnly
2013.0,2013T32GM007315,726358.0,TargetOnly
2019.0,2019T32GM007618,1680591.0,TargetOnly
2015.0,2015T32GM007739,2499443.0,TargetOnly
2005.0,2005T32GM007739,3253492.0,TargetOnly
2004.0,2004T32GM007739,3560149.0,TargetOnly
2015.0,2015T32GM007753,2897060.0,TargetOnly
2008.0,2008T32GM008014,1004737.0,TargetOnly
2018.0,2018T32GM008231,471299.0,TargetOnly
2015.0,2015T32GM008313,767901.0,TargetOnly
2017.0,2017T32GM007267,704091.0,TargetOnly
2019.0,2019T32GM081057,229897.0,TargetOnly
2007.0,2007T32AG000213,612077.0,TargetOnly
2020.0,2020T32AG033534,414843.0,TargetOnly
